;SIGLA_UF_PV;NOME_MUNICIPIO_PV;NOTA_LINGUAGENS;NOTA_HUMANAS;NOTA_MATEMATICA;NOTA_NATUREZA;NOTA_REDAC;CIDADE/UF;LAT;LON
1405;RS;Taquari;504.1923976608187;518.2491228070176;533.5634615384615;486.05064102564097;598.9473684210526;Taquari, RS;-29.79433;-51.865346
1406;RS;Teutônia;540.8817829457364;555.3759689922481;576.8322175732218;521.8719665271966;668.6821705426356;Teutônia, RS;-29.4514561;-51.8087983
1407;RS;Torres;509.60622286541246;524.5872648335745;540.2801213960546;495.3227617602428;597.8002894356006;Torres, RS;-29.3373663;-49.7299648
1408;RS;Tramandaí;510.91333333333336;517.0309333333333;531.4456193353475;495.54954682779453;563.7333333333333;Tramandaí, RS;-29.9855339;-50.1316076
1409;RS;Três Passos;499.4292328042328;517.3958994708995;536.2669444444444;490.8375;622.3809523809524;Três Passos, RS;-27.4556106;-53.9294399
1410;RS;Três de Maio;509.0830275229358;531.5699541284404;553.9791962174941;502.49314420803785;657.1559633027523;Três de Maio, RS;-27.7799415;-54.2356626
1411;RS;Uruguaiana;495.90581967213114;508.13065573770496;529.2115555555556;478.6893333333333;597.7868852459017;Uruguaiana, RS;-29.7560726;-57.0867546
1412;RS;Vacaria;513.1648033126294;527.8047619047619;541.6695464362851;494.2946004319654;610.4347826086956;Vacaria, RS;-28.5102901;-50.9356044
1413;RS;Venâncio Aires;523.6486784140969;538.0759911894273;577.3354691075515;510.52974828375284;695.4625550660793;Venâncio Aires, RS;-29.614306;-52.193159
1414;RS;Veranópolis;514.3798165137615;541.3798165137615;565.607476635514;516.4453271028037;692.4770642201835;Veranópolis, RS;-28.9351293;-51.5516741
1415;RS;Viamão;514.0595846645367;526.2857827476039;529.324978687127;493.0912190963342;597.9552715654952;Viamão, RS;-30.0819338;-51.0261927
1416;SC;Araranguá;512.436449704142;529.7471005917159;551.6860935524652;509.3125158027813;630.1065088757397;Araranguá, SC;-28.9348832;-49.4858389
1417;SC;Balneário Camboriú;524.1766820276497;544.4214746543779;569.6507418397626;516.3013847675569;637.2350230414746;Balneário Camboriú, SC;-26.9924395;-48.6339782
1418;SC;Biguaçu;511.4764275256223;534.0792093704246;554.333800623053;504.83722741433024;613.6163982430454;Biguaçu, SC;-27.4961277;-48.6542432
1419;SC;Blumenau;524.6637230306071;542.2681886603111;567.1674757281553;516.8405070118663;631.058705469142;Blumenau, SC;-26.9195567;-49.0658025
1420;SC;Braço do Norte;497.71063291139245;520.7093670886077;535.7431937172774;495.54214659685863;623.6962025316456;Braço do Norte, SC;-28.2728633;-49.1622712
1421;SC;Brusque;518.2226966292135;542.0138202247191;563.5750617283951;510.73703703703706;619.4831460674158;Brusque, SC;-27.0964628;-48.9136323
1422;SC;Camboriú;506.2834605597964;520.9402035623409;525.9819718309859;489.4154929577465;601.5267175572519;Camboriú, SC;-27.0273601;-48.6535657
1423;SC;Campos Novos;494.28983050847455;521.148813559322;524.6978798586572;492.5717314487632;598.5084745762712;Campos Novos, SC;-27.3962904;-51.2224397
1424;SC;Canoinhas;498.441847826087;523.7827898550725;541.4076481835564;498.44091778202676;614.8913043478261;Canoinhas, SC;-26.1755121;-50.3949592
1425;SC;Caçador;510.1531506849315;529.8953424657534;545.7538011695906;505.983918128655;614.4109589041096;Caçador, SC;-26.77567;-51.0120041
1426;SC;Chapecó;514.8001016776818;537.84128113879;555.5467934782608;507.34320652173915;630.0457549567869;Chapecó, SC;-27.0922364;-52.6166878
1427;SC;Concórdia;510.2980487804878;537.2218292682927;556.3197201017812;504.4726463104326;656.9756097560976;Concórdia, SC;-27.2312011;-52.0231024
1428;SC;Criciúma;522.7969680563075;537.8511099079589;573.2570017431726;517.6841371295758;640.5089334055225;Criciúma, SC;-28.6789941;-49.3695627
1429;SC;Curitibanos;498.4688311688312;526.3597402597403;530.8598337950139;488.68614958448757;614.9090909090909;Curitibanos, SC;-27.2900659;-50.5779683
1430;SC;Dionísio Cerqueira;506.5073426573427;530.2538461538462;530.6822222222223;492.422962962963;629.2307692307693;Dionísio Cerqueira, SC;-26.2604681;-53.6346379
